FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
0000196-Berenson,LXV,65,065,196,,430,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$430i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_065.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_065.jpg
0000878-Berenson,LXVI,66,066,878,,436,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$436i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_066.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_066.jpg
0000893-Berenson,LXVII,67,067,893,,440,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$440i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_067.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_067.jpg
0000881-Berenson,LXVIII,68,068,881,,450,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$450i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_068.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_068.jpg
0000876-Berenson,LXIX,69,069,876,,462,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$462i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_069.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_069.jpg
0000885-Berenson,LXX,70,070,885,,468,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$468i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_070.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_070.jpg
0001392-Berenson,LXXI,71,071,1392,,472,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$472i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_071.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_071.jpg
0000797-Berenson,LXXII,72,072,797,VERSO,482,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$482i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_072.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_072.jpg
0000814-Berenson,LXXIII,73,073,814,,11,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$11i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_073.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_073.jpg
0000902-Berenson,LXXIV,74,074,902,,12,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$12i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_074.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_074.jpg
000974D-Berenson,LXXV,75,075,953,,16,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$16i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_075.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_075.jpg
000974C-Berenson,LXXVI,76,076,952,,18,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_076.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_076.jpg
0000923-Berenson,LXXVII,77,077,923,,22,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$22i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_077.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_077.jpg
0000592-Berenson,LXXVIII,78,078,592,,26,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$26i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_078.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_078.jpg
0001767-Berenson,LXXIX,79,079,1767,,30,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$30i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_079.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_079.jpg
000529B-Berenson,LXXX,80,080,2387,,34,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$34i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_080.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_080.jpg
0002385-Berenson,LXXXI,81,081,2385,,38,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$38i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_081.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_081.jpg
0001861-Berenson,LXXXII,82,082,1861,,42,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$42i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_082.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_082.jpg
0001860-Berenson,LXXXIII,83,083,1860,,46,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$46i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_083.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_083.jpg
0001863-Berenson,LXXXIV,84,084,1863,,50,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$50i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_084.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_084.jpg
001859A-Berenson,LXXXV,85,085,1859 A,,52,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$52i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_085.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_085.jpg
0000244-Berenson,LXXXVI,86,086,244,,56,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$56i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_086.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_086.jpg
0000256-Berenson,LXXXVII,87,087,256,,60,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$60i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_087.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_087.jpg
0000239-Berenson,LXXXVIII,88,088,239,,64,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$64i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_088.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_088.jpg
